Post number from the beginning of the wall;Post id;Publication date&time;Number of likes
1;822;2024-09-14 11:53:00;22
2;821;2024-09-12 18:00:00;25
3;816;2024-09-08 12:00:01;78
4;807;2024-07-15 10:59:06;21
5;806;2024-07-09 19:24:08;37
6;805;2024-07-07 20:17:33;30
7;804;2024-07-01 19:19:00;17
8;802;2024-06-30 20:00:00;22
9;798;2024-06-29 15:30:00;18
10;797;2024-06-28 18:00:00;19
11;796;2024-06-27 14:00:00;21
12;793;2024-06-26 17:00:00;17
13;792;2024-06-24 21:00:00;25
14;790;2024-06-23 20:00:00;24
15;789;2024-06-22 18:30:00;42
16;788;2024-06-19 19:00:03;30
17;782;2024-06-18 14:00:05;28
18;780;2024-06-17 16:00:01;28
19;771;2024-06-16 15:50:00;19
20;767;2024-06-15 12:00:02;17
21;765;2024-06-14 18:00:02;39
22;761;2024-06-06 21:21:00;38
23;759;2024-06-01 14:30:00;20
24;758;2024-05-31 12:27:00;35
25;755;2024-05-29 18:30:00;28
26;754;2024-05-29 12:39:00;33
27;751;2024-05-28 18:00:01;22
28;748;2024-05-27 13:00:00;40
29;747;2024-05-26 14:14:00;25
30;745;2024-05-24 12:12:00;28
31;742;2024-05-23 17:43:10;35
32;738;2024-05-22 20:08:00;55
33;734;2024-05-21 16:16:00;93
34;733;2024-05-20 19:19:00;35
35;731;2024-05-19 18:20:00;33
36;728;2024-05-19 11:12:00;26
37;722;2024-05-18 21:21:00;35
38;720;2024-05-17 17:17:00;38
39;718;2024-05-15 12:00:02;19
40;715;2024-05-14 18:00:00;40
41;714;2024-05-13 20:30:00;28
42;711;2024-05-07 21:13:00;30
43;708;2024-05-04 18:34:00;48
44;705;2024-05-02 16:40:00;64
45;696;2024-04-26 18:18:00;28
46;694;2024-04-25 18:55:00;38
47;692;2024-04-24 00:49:32;20
48;691;2024-04-23 15:00:01;33
49;686;2024-04-21 12:00:02;37
50;684;2024-04-20 16:00:01;31
51;682;2024-04-17 15:00:01;27
52;681;2024-04-16 19:50:00;28
53;676;2024-04-15 19:00:00;38
54;674;2024-04-13 18:00:00;59
55;673;2024-04-11 20:58:00;28
56;669;2024-04-10 17:00:01;54
57;665;2024-04-07 23:10:34;43
58;664;2024-04-07 00:24:59;98
59;660;2024-03-21 16:16:29;43
60;659;2024-03-15 17:09:00;25
61;658;2024-03-14 18:00:03;48
62;655;2024-03-12 22:07:42;37
63;654;2024-03-11 18:00:01;29
64;652;2024-03-10 19:38:36;32
65;650;2024-03-08 18:36:56;31
66;646;2024-03-06 17:36:05;88
67;645;2024-03-05 16:00:02;40
68;642;2024-03-04 16:00:02;28
69;640;2024-03-03 17:00:01;41
70;633;2024-03-01 16:00:05;195
71;631;2024-02-29 13:15:00;23
72;629;2024-02-27 18:35:00;26
73;626;2024-02-26 12:00:02;20
74;625;2024-02-25 17:00:01;34
75;624;2024-02-24 16:00:04;28
76;619;2024-02-23 18:00:00;32
77;614;2024-02-22 12:00:01;34
78;612;2024-02-21 19:22:25;139
79;611;2024-02-20 17:40:00;29
80;609;2024-02-19 21:00:01;9
81;608;2024-02-19 19:45:00;29
82;607;2024-02-18 18:00:00;37
83;605;2024-02-17 09:17:00;34
84;602;2024-02-16 12:00:01;38
85;601;2024-02-15 15:00:00;24
86;599;2024-02-13 10:10:10;31
87;596;2024-02-12 12:27:38;25
88;591;2024-02-11 12:00:00;28
89;590;2024-02-10 15:00:00;30
90;589;2024-02-09 16:00:00;24
91;584;2024-02-08 18:00:02;31
92;571;2024-02-07 20:00:02;19
93;568;2024-02-07 13:27:58;26
94;566;2024-01-28 20:44:39;29
95;565;2024-01-19 19:30:00;18
96;564;2024-01-16 18:00:00;26
97;561;2024-01-13 22:01:00;29
98;558;2024-01-07 12:22:23;20
99;557;2024-01-03 15:00:00;35
100;556;2024-01-01 20:22:01;26
101;555;2023-12-31 19:28:32;31
102;554;2023-12-30 17:56:32;31
103;551;2023-12-26 18:01:29;30
104;550;2023-12-21 16:00:02;26
105;539;2023-12-17 16:51:26;159
